Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nominal AQI (Air Quality Index) (Items),59.62319023,57.3435824,55.21987576,56.47466607,55.9392627,55.3181331,53.97887151,54.98112793,56.63461782,50.44702139,49.30149307,48.95687684,44.56952206,46.05335307,46.46001741,45.63462093,44.2919774,44.44705046,47.83924551,50.80816206,47.81828824,48.00292747,48.30080935,46.02434275,43.48108454,46.68287253,45.37778032,46.80298856,43.88503204,40.50876043,43.21929731,43.5191033,43.6364236,40.63751897,40.03893573,39.52251952,38.58911579,39.2850885,38.79690925,37.20288,36.8971,39.59905
    BY CBSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Atlanta-Sandy Springs-Roswell, GA (Items)",85.78142077,66.75068493,62.59726027,78.51506849,70.28688525,69.58356164,80.67671233,89.28767123,91.26775956,78.07671233,93.43013699,75.34794521,75.43442623,84.64931507,69.10136986,77.35068493,73.16939891,74.46575342,85.96986301,101.6054795,91.71857923,82.35068493,79.60273973,73.43287671,73.8715847,77.46575342,83.61917808,82.11780822,72.13661202,61.68767123,67.73972603,69.04657534,64.96174863,54.61917808,58.40273973,58.02465753,62.71038251,54.52054795,51.60273973,57.189,46.8552,49.4704
"        Austin-Round Rock, TX (Items)",44.00320513,44.16615385,44.46045198,42.84340659,42.24022346,46.03846154,41.60164835,48.64835165,50.10136986,45.45205479,45.38356164,45.12054795,45.21369863,41.05753425,47.82191781,54.69589041,40.78688525,44.82692308,45.76986301,58.55342466,58.63661202,51.51506849,52.89589041,51.64931507,42.55737705,53.56712329,55.55616438,47.22465753,49.57103825,47.65753425,46.03835616,52.1890411,48.35245902,47.12054795,46.17534247,47.86849315,43.93715847,45.96438356,46.24383562,46.1068,44.7896,45.6385
"        Baltimore-Columbia-Towson, MD (Items)",98.92876712,100.0136986,98.08493151,102.1671233,94.56830601,93.55890411,93.2739726,92.06849315,91.20765027,77.82191781,76.90958904,84.11049724,68.80327869,82.79178082,76.83287671,73.84931507,68.63114754,66.87123288,76.28219178,74.49589041,72.56284153,79.56712329,82.55616438,71.40821918,70.04098361,74.2630137,69.29863014,72.36712329,63.4726776,57.67945205,65.46575342,62.88219178,61.2568306,53.17808219,55.13150685,55.74246575,55.86065574,51.49863014,52.16164384,51.8658,44.1562,50.9441
"        Boston-Cambridge-Newton, MA-NH (Items)",92.92896175,89.86575342,109.3863014,113.2410959,107.1885246,97.80821918,97.77534247,97.26027397,102.6420765,90.97260274,79.84931507,81.73972603,78.75956284,76.26849315,72.30410959,67.53424658,71,71.89315068,71.6739726,72.61917808,64.19125683,68.44931507,73.78356164,67.3890411,63.10382514,65.56438356,59.86027397,64.68767123,58.59289617,49.9890411,52.36712329,53.3890411,51.56557377,51.77808219,50.38082192,49.43835616,50.66666667,52.64109589,48.30958904,44.1726,43.347,45.8279
"        Charlotte-Concord-Gastonia, NC-SC (Items)",99.79508197,95.87123288,88.1890411,90.1260274,80.97814208,76.5369863,83.96986301,79.90958904,81.21038251,63.57260274,72.96164384,66.24657534,59.50546448,69.83013699,62.05205479,64.56164384,65.5136612,70.74246575,74.10410959,83.81643836,78.76229508,76.71232877,76.70798898,68.43561644,66.7431694,72.96712329,72.15342466,77.48767123,66.43169399,54.53150685,63.01917808,62.06849315,56.72404372,46.92328767,50.21917808,51.69589041,50.64480874,49.84109589,48.58791209,54.2822,43.3634,49.0036
"        Chicago-Naperville-Elgin, IL-IN-WI (Items)",129.8005464,114.060274,108.8,116.2821918,127.9918033,128.030137,115.9506849,109.690411,119.5273224,110.1726027,105.9808219,110.6958904,96.14754098,88.55616438,88.45479452,86.68219178,80.87978142,83.66575342,92.47671233,94.53424658,88.88251366,91.57534247,87.60821918,78.36164384,80.95355191,84.54520548,75.68493151,82.89589041,77.53278689,69.23013699,74.38630137,69.48219178,74.36612022,63.38356164,65.20547945,60.83835616,59.96721311,59.22191781,62.58082192,59.0795,61.5683,63.682
"        Cincinnati, OH-KY-IN (Items)",118.2185792,117.6465753,119.4273973,125.0821918,113.7513661,114.4958904,112.6438356,109.0958904,109.8606557,102.8493151,107.7726027,135.709589,92.40163934,96.67123288,92.85205479,76.97534247,85.39344262,84.4739726,84.07671233,90.04931507,85.83333333,86.20821918,90.23561644,82.18630137,84.1147541,80.16712329,67.46575342,75.44109589,62.41530055,58.86027397,75.0630137,69.11506849,71.08196721,63.07945205,62.18630137,56.88493151,56.99180328,54.21369863,55.64657534,59.0055,52.9399,54.5033
"        Dallas-Fort Worth-Arlington, TX (Items)",82.04644809,81.80821918,72.78630137,84.75616438,82.82240437,83.64657534,74.68767123,73.4,79.83060109,69.46027397,65.55890411,64.82739726,61.12295082,56.69041096,70.2109589,78.41917808,74,72.30410959,78.39726027,84.16712329,87.92349727,81.99726027,73.8,76.74794521,69.10928962,81.44383562,74.84931507,65.83561644,66.1010929,63.92876712,59.75890411,70.58356164,67.50819672,65.45479452,58.23013699,59.14520548,54.18032787,56.5890411,58.42465753,57.4877,54.806,57.1598
"        Denver-Aurora-Lakewood, CO (Items)",99.46368715,104.0473538,98.77260274,100.3581267,92.09289617,85.91780822,90.06027397,87.78082192,84.59836066,78.40547945,65.10958904,70.13972603,76.88797814,75.71780822,76.00273973,67.56986301,72.98907104,67.75342466,72.56438356,64.67945205,68.86065574,71.68219178,70.78356164,72.15890411,61.09289617,65.16438356,70.73424658,80.60273973,68.70765027,58.36712329,67.73150685,70.56164384,71.99726776,69.97260274,67.67123288,67.1369863,66.91256831,68.7260274,71.97534247,64.8247,65.4918,72.8445
"        Detroit-Warren-Dearborn, MI (Items)",103.5901639,107.0191781,103.1890411,98.89589041,88.49453552,84.25753425,82.44109589,88.84657534,93.7568306,88.14520548,84.49589041,82.9890411,70.72404372,73.74520548,79.4,78.55068493,80.53551913,78.5260274,82.06575342,85.54520548,80.12021858,82.61917808,79.65205479,78.19834711,72.6420765,78.36712329,69.69315068,67.3260274,58.40163934,53.31232877,58.37534247,57.75890411,65.53825137,55.14794521,59.69315068,58.47671233,57.66120219,58.50958904,59.4630137,57.5973,54.459,52.2533
"        Houston-The Woodlands-Sugar Land, TX (Items)",112.6758242,101.0328767,109.5780822,119.3818681,111.7786885,106.5479452,102.0794521,104.3041096,106.2704918,97.95068493,102.169863,91.37260274,89.50546448,87.98630137,93.14246575,103.5726027,91.12568306,88.64383562,82.18630137,91.81643836,88.13387978,83.25205479,78.56986301,85.70684932,83.52459016,88.2369146,83.25479452,75.31232877,70.64010989,66.22739726,66.44657534,69.52054795,65.68579235,59.58082192,58.15068493,64.09041096,58.35245902,57.8109589,59.00821918,60.2274,57.7077,58.381
